gt,pred,n,gt_name,pred_name
49,46,0,Sparisoma viride FI,Sparisoma chrysopterum
49,47,0,Sparisoma viride FI,Sparisoma rubripinne FI
49,48,0,Sparisoma viride FI,Sparisoma viride
49,49,13,Sparisoma viride FI,Sparisoma viride FI
49,5,0,Sparisoma viride FI,Azurina cyanea
49,50,0,Sparisoma viride FI,Sphyraena barracuda
49,51,0,Sparisoma viride FI,Urobatis jamaicensis
49,52,0,Sparisoma viride FI,unidentifiable
49,6,0,Sparisoma viride FI,Bodianus rufus
49,7,0,Sparisoma viride FI,Calamus spp
49,8,0,Sparisoma viride FI,Caranx bartholomaei
49,9,0,Sparisoma viride FI,Caranx latus
49,background,5,Sparisoma viride FI,background
5,0,0,Azurina cyanea,fish
